MachineKey,StoreKey,MachineType,MachineName,MachineDescription,VendorName,MachineOS,MachineSource,MachineHardware,MachineSoftware,Status,ServiceStartDate,DecommissionDate,LastModifiedDate
20,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
21,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
22,2,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-14 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
23,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2015-01-01 00:00:00.000,2009-05-10 00:00:00.000
24,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
25,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
26,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
27,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2015-01-01 00:00:00.000,2009-05-10 00:00:00.000
28,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
29,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
30,3,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-02-12 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
31,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2015-01-01 00:00:00.000,2008-01-01 00:00:00.000
32,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
33,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
34,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
35,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2015-01-01 00:00:00.000,2009-07-06 00:00:00.000
36,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2014-06-16 00:00:00.000,2009-07-06 00:00:00.000
37,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
38,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
39,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
40,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
41,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
42,4,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-03-01 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
43,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
44,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
45,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
46,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
47,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
48,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
49,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
50,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
51,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
52,5,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-04-02 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
53,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
54,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
55,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
56,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
57,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
58,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
59,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
60,6,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2005-05-15 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
61,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
62,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
63,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
64,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
65,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
66,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
67,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
68,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2014-06-16 00:00:00.000,2009-06-16 00:00:00.000
69,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2010-06-16 00:00:00.000,2009-06-16 00:00:00.000
70,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2011-06-17 00:00:00.000,2009-06-17 00:00:00.000
71,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
72,7,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-06-16 00:00:00.000,2014-06-16 00:00:00.000,2009-07-10 00:00:00.000
73,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2010-06-16 00:00:00.000,2009-07-06 00:00:00.000
74,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2011-06-17 00:00:00.000,2009-07-06 00:00:00.000
75,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2015-01-01 00:00:00.000,2009-07-06 00:00:00.000
76,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2014-06-16 00:00:00.000,2009-07-06 00:00:00.000
77,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2010-06-16 00:00:00.000,2009-07-06 00:00:00.000
78,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
79,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2015-01-01 00:00:00.000,2009-07-10 00:00:00.000
80,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2014-06-16 00:00:00.000,2009-07-06 00:00:00.000
81,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2010-06-16 00:00:00.000,2009-07-10 00:00:00.000
82,8,POS01,Fabrikam Point of Sale 4-in-1,"Kit contains one convenient box, barcode scanner, receipt printer, cash drawer and keyboard.","Fabrikam, Inc.",Linux2.6,Store,"15"" LCD screen; 4 USB ports (USB 1.0)",Linux2.6,Used,2004-07-02 00:00:00.000,2011-06-17 00:00:00.000,2009-07-10 00:00:00.000
