ITSLAkey,DateKey,StoreKey,MachineKey,OutageKey,OutageStartTime,OutageEndTime,DownTime
89,2007-01-23,140,1072,310,2007-01-23 19:21:00,2007-01-23 20:03:00,42
90,2007-02-19,185,1518,297,2007-02-19 18:34:00,2007-02-19 18:53:00,19
91,2007-08-28,267,2233,303,2007-08-28 18:18:00,2007-08-28 18:48:00,30
92,2007-04-20,232,2473,569,2007-04-20 01:14:00,2007-04-20 02:08:00,54
93,2007-04-08,246,2166,333,2007-04-08 14:20:00,2007-04-08 14:59:00,39
94,2007-10-15,22,222,332,2007-10-15 16:40:00,2007-10-15 17:22:00,42
95,2007-10-09,19,189,379,2007-10-09 10:03:00,2007-10-09 10:38:00,35
96,2007-10-08,186,1530,435,2007-10-08 06:18:00,2007-10-08 06:54:00,36
97,2007-06-25,7,66,449,2007-06-25 12:47:00,2007-06-25 13:23:00,36
98,2007-05-24,92,605,400,2007-05-24 04:55:00,2007-05-24 05:26:00,31
99,2007-03-20,141,1080,342,2007-03-20 16:52:00,2007-03-20 17:43:00,51
100,2007-06-23,172,1388,351,2007-06-23 09:55:00,2007-06-23 10:30:00,35
101,2007-07-24,209,1684,433,2007-07-24 05:30:00,2007-07-24 06:08:00,38
102,2007-04-12,119,857,396,2007-04-12 12:41:00,2007-04-12 13:06:00,25
103,2007-10-22,8,78,528,2007-10-22 12:48:00,2007-10-22 12:58:00,10
104,2007-03-20,245,2157,561,2007-03-20 11:24:00,2007-03-20 11:48:00,24
105,2007-05-26,227,1764,594,2007-05-26 03:42:00,2007-05-26 19:34:00,952
106,2007-04-25,187,1541,564,2007-04-25 14:11:00,2007-04-25 14:32:00,21
107,2007-10-27,64,2747,409,2007-10-27 08:26:00,2007-10-27 08:35:00,9
108,2007-12-09,27,266,301,2007-12-09 06:13:00,2007-12-09 06:27:00,14
109,2007-05-17,178,1447,407,2007-05-17 04:37:00,2007-05-17 04:55:00,18
110,2007-09-09,15,144,510,2007-09-09 08:02:00,2007-09-09 08:59:00,57
111,2007-04-19,263,2218,540,2007-04-19 16:00:00,2007-04-19 16:21:00,21
112,2007-05-14,122,889,311,2007-05-14 09:16:00,2007-05-14 09:51:00,35
113,2007-02-08,184,1512,523,2007-02-08 02:40:00,2007-02-08 02:51:00,11
114,2007-09-24,252,2510,393,2007-09-24 09:29:00,2007-09-24 10:07:00,38
115,2007-02-26,243,2831,339,2007-02-26 02:58:00,2007-02-26 03:38:00,40
116,2007-11-22,51,2376,376,2007-11-22 08:35:00,2007-11-22 08:51:00,16
117,2007-09-20,8,73,574,2007-09-20 15:36:00,2007-09-21 12:06:00,1230
118,2007-09-10,151,1175,472,2007-09-10 08:17:00,2007-09-10 08:35:00,18
119,2007-06-26,51,2371,423,2007-06-26 18:06:00,2007-06-26 19:05:00,59
120,2007-12-15,187,1540,445,2007-12-15 04:36:00,2007-12-15 05:08:00,32
121,2007-02-07,72,404,468,2007-02-07 19:57:00,2007-02-07 20:55:00,58
122,2007-04-01,37,1963,351,2007-04-01 00:28:00,2007-04-01 01:24:00,56
123,2007-05-09,252,2511,348,2007-05-09 13:03:00,2007-05-09 13:25:00,22
124,2007-04-25,181,1482,313,2007-04-25 17:51:00,2007-04-25 17:57:00,6
125,2007-08-02,36,1954,589,2007-08-02 10:14:00,2007-08-03 00:03:00,829
126,2007-01-11,115,817,383,2007-01-11 05:34:00,2007-01-11 05:51:00,17
127,2007-07-04,9,86,415,2007-07-04 15:15:00,2007-07-04 15:37:00,22
128,2007-12-23,42,2000,537,2007-12-23 11:50:00,2007-12-23 12:07:00,17
129,2007-05-09,159,1263,571,2007-05-09 00:58:00,2007-05-09 23:11:00,1333
130,2007-03-12,257,2535,339,2007-03-12 02:14:00,2007-03-12 02:59:00,45
131,2007-02-16,88,567,389,2007-02-16 06:48:00,2007-02-16 07:05:00,17
132,2007-11-14,245,2160,335,2007-11-14 03:00:00,2007-11-14 03:11:00,11
133,2007-03-27,246,2169,480,2007-03-27 00:23:00,2007-03-27 00:39:00,16
134,2007-09-30,69,402,361,2007-09-30 17:04:00,2007-09-30 17:37:00,33
135,2007-10-08,77,461,422,2007-10-08 12:48:00,2007-10-08 13:40:00,52
136,2007-10-20,236,2143,466,2007-10-20 20:25:00,2007-10-20 20:52:00,27
137,2007-08-08,201,1656,573,2007-08-08 00:24:00,2007-08-08 11:11:00,647
138,2007-07-23,59,2688,527,2007-07-23 04:04:00,2007-07-23 04:30:00,26
139,2007-02-01,201,1658,334,2007-02-01 10:48:00,2007-02-01 11:13:00,25
140,2007-05-11,26,253,559,2007-05-11 05:14:00,2007-05-11 05:40:00,26
141,2007-05-03,230,1765,426,2007-05-03 16:05:00,2007-05-03 16:20:00,15
142,2007-04-19,13,128,354,2007-04-19 16:10:00,2007-04-19 16:52:00,42
143,2007-06-01,1,9,444,2007-06-01 18:02:00,2007-06-01 18:32:00,30
144,2007-11-28,37,1960,533,2007-11-28 02:33:00,2007-11-28 03:01:00,28
145,2007-11-22,48,2346,391,2007-11-22 00:46:00,2007-11-22 01:34:00,48
146,2007-01-17,152,1193,542,2007-01-17 12:37:00,2007-01-17 13:15:00,38
147,2007-08-02,286,1891,366,2007-08-02 06:47:00,2007-08-02 07:43:00,56
148,2007-07-19,264,2557,552,2007-07-19 18:20:00,2007-07-19 18:57:00,37
149,2007-01-23,8,82,389,2007-01-23 15:31:00,2007-01-23 15:33:00,2
150,2007-12-08,189,1556,420,2007-12-08 15:10:00,2007-12-08 16:00:00,50
151,2007-02-13,84,528,322,2007-02-13 03:30:00,2007-02-13 04:03:00,33
152,2007-11-24,219,2786,496,2007-11-24 07:38:00,2007-11-24 08:00:00,22
153,2007-08-26,251,2173,441,2007-08-26 16:01:00,2007-08-26 16:43:00,42
154,2007-12-17,48,2343,310,2007-12-17 00:19:00,2007-12-17 01:09:00,50
155,2007-04-22,10,93,544,2007-04-22 15:19:00,2007-04-22 15:48:00,29
156,2007-09-17,109,761,554,2007-09-17 05:12:00,2007-09-17 05:14:00,2
157,2007-02-12,288,2258,312,2007-02-12 17:03:00,2007-02-12 17:21:00,18
158,2007-04-28,156,1234,356,2007-04-28 18:47:00,2007-04-28 19:13:00,26
159,2007-02-16,49,2354,416,2007-02-16 06:08:00,2007-02-16 06:47:00,39
160,2007-12-29,1,2,319,2007-12-29 04:04:00,2007-12-29 04:44:00,40
161,2007-12-06,171,1382,555,2007-12-06 00:04:00,2007-12-06 00:53:00,49
162,2007-08-19,152,1189,458,2007-08-19 00:03:00,2007-08-19 00:05:00,2
163,2007-11-04,197,1642,438,2007-11-04 13:33:00,2007-11-04 13:39:00,6
164,2007-11-05,240,2499,553,2007-11-05 03:22:00,2007-11-05 03:42:00,20
165,2007-04-16,139,1060,554,2007-04-16 16:53:00,2007-04-16 17:12:00,19
166,2007-03-04,29,285,502,2007-03-04 18:05:00,2007-03-04 18:17:00,12
167,2007-05-07,9,86,579,2007-05-07 13:40:00,2007-05-08 09:22:00,1182
168,2007-06-12,83,516,401,2007-06-12 01:46:00,2007-06-12 02:36:00,50
169,2007-04-27,268,1830,542,2007-04-27 07:23:00,2007-04-27 07:36:00,13
170,2007-02-01,171,1379,476,2007-02-01 15:49:00,2007-02-01 16:38:00,49
171,2007-01-26,275,1841,449,2007-01-26 19:13:00,2007-01-26 19:32:00,19
172,2007-04-02,30,298,430,2007-04-02 20:08:00,2007-04-02 20:13:00,5
173,2007-12-09,300,2665,536,2007-12-09 20:45:00,2007-12-09 21:02:00,17
174,2007-07-19,31,302,443,2007-07-19 18:13:00,2007-07-19 18:29:00,16
175,2007-06-21,251,2178,544,2007-06-21 01:28:00,2007-06-21 01:57:00,29
176,2007-01-19,85,536,461,2007-01-19 07:35:00,2007-01-19 08:28:00,53
177,2007-08-02,127,936,509,2007-08-02 00:30:00,2007-08-02 01:08:00,38
178,2007-03-04,197,1633,512,2007-03-04 15:28:00,2007-03-04 15:34:00,6
179,2007-05-25,132,988,483,2007-05-25 17:09:00,2007-05-25 17:57:00,48
180,2007-03-28,141,1077,312,2007-03-28 10:25:00,2007-03-28 11:15:00,50
181,2007-09-10,7,72,442,2007-09-10 10:05:00,2007-09-10 10:28:00,23
182,2007-12-12,247,1801,438,2007-12-12 01:54:00,2007-12-12 02:43:00,49
183,2007-08-15,289,2641,328,2007-08-15 05:48:00,2007-08-15 05:56:00,8
184,2007-07-21,204,1673,446,2007-07-21 15:32:00,2007-07-21 16:23:00,51
185,2007-03-11,165,1320,343,2007-03-11 07:00:00,2007-03-11 07:48:00,48
186,2007-02-26,92,612,495,2007-02-26 05:32:00,2007-02-26 05:54:00,22
187,2007-01-30,181,1481,574,2007-01-30 08:30:00,2007-01-31 07:42:00,1392
188,2007-08-15,130,970,453,2007-08-15 16:48:00,2007-08-15 17:46:00,58
189,2007-07-17,25,248,296,2007-07-17 15:28:00,2007-07-17 15:33:00,5
190,2007-09-30,230,1766,517,2007-09-30 07:42:00,2007-09-30 07:47:00,5
191,2007-05-07,210,2769,319,2007-05-07 06:53:00,2007-05-07 07:01:00,8
192,2007-04-17,187,1540,313,2007-04-17 00:29:00,2007-04-17 00:50:00,21
193,2007-04-11,221,2442,303,2007-04-11 06:13:00,2007-04-11 06:59:00,46
194,2007-08-16,296,2654,420,2007-08-16 15:15:00,2007-08-16 15:56:00,41
195,2007-10-08,93,2068,433,2007-10-08 00:30:00,2007-10-08 01:27:00,57
196,2007-11-05,66,363,305,2007-11-05 07:17:00,2007-11-05 08:16:00,59
197,2007-12-02,98,660,502,2007-12-02 02:57:00,2007-12-02 03:53:00,56
198,2007-12-29,61,2716,474,2007-12-29 20:44:00,2007-12-29 21:22:00,38
199,2007-03-12,192,1587,350,2007-03-12 18:41:00,2007-03-12 18:56:00,15
200,2007-03-18,4,35,298,2007-03-18 01:33:00,2007-03-18 01:40:00,7
201,2007-12-16,96,636,495,2007-12-16 17:11:00,2007-12-16 17:24:00,13
202,2007-10-23,122,886,594,2007-10-23 01:01:00,2007-10-23 18:15:00,1034
203,2007-08-14,290,1901,400,2007-08-14 02:16:00,2007-08-14 03:13:00,57
204,2007-11-06,112,785,424,2007-11-06 10:32:00,2007-11-06 10:45:00,13
205,2007-12-27,212,2775,365,2007-12-27 02:58:00,2007-12-27 03:10:00,12
206,2007-07-30,132,988,315,2007-07-30 18:24:00,2007-07-30 18:47:00,23
207,2007-04-27,25,241,486,2007-04-27 10:31:00,2007-04-27 10:48:00,17
208,2007-12-18,141,1079,367,2007-12-18 18:44:00,2007-12-18 19:34:00,50
209,2007-01-13,10,101,530,2007-01-13 11:44:00,2007-01-13 12:30:00,46
210,2007-01-02,225,1746,468,2007-01-02 02:39:00,2007-01-02 03:18:00,39
211,2007-01-07,232,2474,388,2007-01-07 12:54:00,2007-01-07 12:59:00,5
212,2007-01-30,182,1492,383,2007-01-30 10:12:00,2007-01-30 10:41:00,29
213,2007-03-12,62,2722,330,2007-03-12 19:58:00,2007-03-12 20:16:00,18
214,2007-12-17,60,2703,313,2007-12-17 11:25:00,2007-12-17 12:19:00,54
215,2007-09-14,82,506,477,2007-09-14 05:49:00,2007-09-14 06:03:00,14
216,2007-02-13,178,1451,592,2007-02-13 17:10:00,2007-02-13 22:03:00,293
217,2007-12-07,249,1814,594,2007-12-07 19:43:00,2007-12-08 13:47:00,1084
218,2007-01-28,268,1832,392,2007-01-28 17:48:00,2007-01-28 18:22:00,34
219,2007-06-20,57,345,450,2007-06-20 05:40:00,2007-06-20 06:10:00,30
220,2007-05-14,292,1923,512,2007-05-14 13:21:00,2007-05-14 13:33:00,12
221,2007-12-25,267,2227,473,2007-12-25 14:45:00,2007-12-25 15:32:00,47
222,2007-12-08,214,2115,551,2007-12-08 14:58:00,2007-12-08 15:32:00,34
223,2007-10-23,15,147,586,2007-10-23 07:02:00,2007-10-23 15:04:00,482
224,2007-07-18,193,1602,545,2007-07-18 07:35:00,2007-07-18 08:23:00,48
225,2007-08-19,128,943,403,2007-08-19 16:06:00,2007-08-19 16:37:00,31
226,2007-09-04,183,1499,298,2007-09-04 07:52:00,2007-09-04 07:58:00,6
227,2007-03-30,267,2231,501,2007-03-30 06:56:00,2007-03-30 07:00:00,4
228,2007-11-27,245,2159,393,2007-11-27 04:10:00,2007-11-27 04:37:00,27
229,2007-11-05,298,1943,467,2007-11-05 09:35:00,2007-11-05 10:10:00,35
230,2007-09-25,185,1517,518,2007-09-25 03:05:00,2007-09-25 03:36:00,31
231,2007-08-26,305,2685,531,2007-08-26 02:06:00,2007-08-26 02:53:00,47
232,2007-02-17,32,317,565,2007-02-17 14:01:00,2007-02-17 14:56:00,55
233,2007-06-07,285,2250,549,2007-06-07 01:36:00,2007-06-07 01:50:00,14
234,2007-03-16,276,1852,468,2007-03-16 04:57:00,2007-03-16 05:33:00,36
235,2007-03-22,12,120,504,2007-03-22 06:15:00,2007-03-22 06:57:00,42
236,2007-11-29,291,1916,331,2007-11-29 09:00:00,2007-11-29 09:15:00,15
237,2007-11-05,23,232,383,2007-11-05 07:33:00,2007-11-05 07:57:00,24
238,2007-12-23,289,2637,401,2007-12-23 12:55:00,2007-12-23 13:10:00,15
239,2007-06-17,154,1207,580,2007-06-17 03:32:00,2007-06-18 03:11:00,1419
240,2007-03-18,64,2743,535,2007-03-18 02:42:00,2007-03-18 03:37:00,55
241,2007-09-16,111,782,537,2007-09-16 11:05:00,2007-09-16 12:03:00,58
242,2007-03-01,122,891,496,2007-03-01 16:08:00,2007-03-01 16:13:00,5
243,2007-04-13,170,1372,397,2007-04-13 20:12:00,2007-04-13 20:30:00,18
244,2007-08-05,112,792,537,2007-08-05 18:49:00,2007-08-05 19:02:00,13
245,2007-07-15,124,905,418,2007-07-15 17:02:00,2007-07-15 17:48:00,46
246,2007-05-25,84,527,404,2007-05-25 05:01:00,2007-05-25 05:42:00,41
247,2007-09-28,50,2358,536,2007-09-28 01:56:00,2007-09-28 02:29:00,33
248,2007-01-06,31,306,350,2007-01-06 01:28:00,2007-01-06 02:15:00,47
249,2007-03-22,51,2371,526,2007-03-22 15:31:00,2007-03-22 15:43:00,12
250,2007-11-09,85,539,390,2007-11-09 00:33:00,2007-11-09 01:26:00,53
251,2007-12-17,2,13,463,2007-12-17 03:36:00,2007-12-17 03:51:00,15
252,2007-10-28,118,852,393,2007-10-28 15:25:00,2007-10-28 15:32:00,7
253,2007-09-24,24,234,515,2007-09-24 10:46:00,2007-09-24 11:35:00,49
254,2007-07-13,29,292,439,2007-07-13 00:21:00,2007-07-13 00:55:00,34
255,2007-08-04,208,2433,435,2007-08-04 01:44:00,2007-08-04 02:26:00,42
256,2007-06-24,264,2555,477,2007-06-24 03:04:00,2007-06-24 03:09:00,5
257,2007-03-14,81,502,455,2007-03-14 16:42:00,2007-03-14 17:33:00,51
258,2007-11-09,1,5,582,2007-11-09 01:20:00,2007-11-09 04:36:00,196
259,2007-10-08,17,172,294,2007-10-08 03:33:00,2007-10-08 04:15:00,42
260,2007-10-22,22,212,487,2007-10-22 18:39:00,2007-10-22 19:35:00,56
261,2007-11-29,233,1790,296,2007-11-29 19:34:00,2007-11-29 20:16:00,42
262,2007-05-23,256,2189,306,2007-05-23 14:17:00,2007-05-23 14:50:00,33
263,2007-01-18,115,814,491,2007-01-18 08:58:00,2007-01-18 09:09:00,11
264,2007-12-13,16,154,341,2007-12-13 01:41:00,2007-12-13 01:56:00,15
265,2007-02-06,114,802,545,2007-02-06 20:01:00,2007-02-06 20:03:00,2
266,2007-09-07,51,2375,413,2007-09-07 07:40:00,2007-09-07 07:44:00,4
267,2007-05-24,226,2459,431,2007-05-24 06:16:00,2007-05-24 06:56:00,40
268,2007-04-07,288,2252,355,2007-04-07 13:26:00,2007-04-07 14:00:00,34
269,2007-06-13,131,980,439,2007-06-13 16:26:00,2007-06-13 16:52:00,26
270,2007-05-18,130,972,423,2007-05-18 20:50:00,2007-05-18 21:49:00,59
271,2007-08-11,277,2880,382,2007-08-11 01:48:00,2007-08-11 01:53:00,5
272,2007-06-03,288,2258,541,2007-06-03 12:53:00,2007-06-03 13:19:00,26
273,2007-07-29,72,412,427,2007-07-29 20:34:00,2007-07-29 21:09:00,35
274,2007-03-20,227,1756,308,2007-03-20 05:27:00,2007-03-20 05:41:00,14
275,2007-10-21,20,197,402,2007-10-21 03:45:00,2007-10-21 04:21:00,36
276,2007-01-14,31,311,443,2007-01-14 02:09:00,2007-01-14 03:08:00,59
277,2007-06-24,208,2431,456,2007-06-24 02:31:00,2007-06-24 02:34:00,3
278,2007-02-15,34,333,554,2007-02-15 15:30:00,2007-02-15 16:27:00,57
279,2007-06-03,21,204,549,2007-06-03 01:22:00,2007-06-03 02:19:00,57
280,2007-04-18,202,2078,402,2007-04-18 13:30:00,2007-04-18 14:13:00,43
281,2007-06-06,190,1569,432,2007-06-06 12:19:00,2007-06-06 13:06:00,47
282,2007-08-09,148,1148,319,2007-08-09 08:53:00,2007-08-09 09:52:00,59
283,2007-05-22,298,1945,573,2007-05-22 01:59:00,2007-05-22 02:01:00,2
284,2007-03-21,81,500,416,2007-03-21 10:52:00,2007-03-21 11:01:00,9
285,2007-02-25,6,55,434,2007-02-25 07:56:00,2007-02-25 08:15:00,19
286,2007-06-12,21,210,348,2007-06-12 00:11:00,2007-06-12 00:45:00,34
287,2007-06-23,88,567,523,2007-06-23 13:04:00,2007-06-23 14:00:00,56
288,2007-02-13,224,1743,422,2007-02-13 00:22:00,2007-02-13 01:09:00,47
289,2007-06-22,112,783,318,2007-06-22 18:02:00,2007-06-22 18:22:00,20
290,2007-04-17,76,445,402,2007-04-17 10:59:00,2007-04-17 11:38:00,39
291,2007-10-18,264,2554,375,2007-10-18 10:58:00,2007-10-18 11:13:00,15
292,2007-02-04,162,1288,499,2007-02-04 07:45:00,2007-02-04 08:10:00,25
293,2007-02-28,190,1568,358,2007-02-28 17:15:00,2007-02-28 17:22:00,7
294,2007-12-28,194,1613,413,2007-12-28 02:39:00,2007-12-28 03:02:00,23
295,2007-05-10,119,855,348,2007-05-10 07:29:00,2007-05-10 07:34:00,5
296,2007-03-08,10,100,409,2007-03-08 19:47:00,2007-03-08 20:31:00,44
297,2007-03-15,24,240,381,2007-03-15 10:37:00,2007-03-15 11:26:00,49
298,2007-12-17,32,321,427,2007-12-17 08:45:00,2007-12-17 09:30:00,45
299,2007-08-18,73,417,573,2007-08-18 15:33:00,2007-08-19 09:23:00,1070
300,2007-11-18,2,16,403,2007-11-18 04:51:00,2007-11-18 05:32:00,41
301,2007-06-26,82,509,439,2007-06-26 03:25:00,2007-06-26 03:31:00,6
302,2007-09-05,197,1636,499,2007-09-05 03:19:00,2007-09-05 04:00:00,41
303,2007-02-01,41,2323,583,2007-02-01 07:59:00,2007-02-02 04:49:00,1250
304,2007-04-20,5,51,486,2007-04-20 01:38:00,2007-04-20 02:36:00,58
305,2007-04-11,154,1209,405,2007-04-11 08:59:00,2007-04-11 09:43:00,44
306,2007-06-19,113,798,556,2007-06-19 15:40:00,2007-06-19 15:49:00,9
307,2007-02-11,284,1879,552,2007-02-11 15:41:00,2007-02-11 16:21:00,40
308,2007-05-09,255,2184,506,2007-05-09 20:39:00,2007-05-09 21:03:00,24
309,2007-03-04,287,1893,471,2007-03-04 16:04:00,2007-03-04 16:57:00,53
310,2007-08-05,147,1141,341,2007-08-05 08:45:00,2007-08-05 09:21:00,36
311,2007-02-15,108,750,569,2007-02-15 10:25:00,2007-02-15 10:56:00,31
312,2007-03-31,256,2189,389,2007-03-31 11:22:00,2007-03-31 11:54:00,32
313,2007-07-16,162,1292,297,2007-07-16 08:19:00,2007-07-16 09:15:00,56
314,2007-07-03,302,2301,522,2007-07-03 14:50:00,2007-07-03 14:58:00,8
315,2007-08-26,255,2186,485,2007-08-26 19:32:00,2007-08-26 20:26:00,54
316,2007-12-10,62,2725,577,2007-12-10 05:21:00,2007-12-11 00:18:00,1137
317,2007-08-24,201,1656,498,2007-08-24 20:49:00,2007-08-24 21:03:00,14
318,2007-12-21,70,2049,328,2007-12-21 20:10:00,2007-12-21 21:01:00,51
