AccountSeq,AccountID,AccountName,Street,City,StateorProvince,PostalCode,Country,Latitude,Longitude,Phone,NumberofEmployees,AnnualRevenue,AccountOwnerSeq,IndustrySeq,AccountOwner,Industry,Territory,Region,AccountNumber
1019,42ded114-ed1e-eb11-a814-000d3a9c7ff2,"Terry Inc (Romorantin-Lanthenay, France)",0 Stang Point,Ceres,,2340,Argentina,-32.9578112,-60.6682209,-8700,"3,000","$51,000,000 ",13,39,Greg Winston,Restaurants,Argentina,LATAM,AN-100020
1020,fa475c85-e41e-eb11-a814-000d3a9c7ff2,Abbott Group  (Arizona),5 Dottie Hill,Daireaux,,6555,Argentina,-37.9595992,-57.5629395,-902,"2,400","$45,000,000 ",13,20,Greg Winston,Major Banks,Argentina,LATAM,AN-100021
1021,2658970b-f01e-eb11-a814-000d3a9c7ff2,"Toy, Friesen and Rath",78235 Northridge Park,Bernardo Larroudé,,6220,Argentina,-35.0234334,-63.5803937,-7536,"3,000","$51,000,000 ",13,32,Greg Winston,Packaged Foods,Argentina,LATAM,AN-100022
1022,e4665964-f31e-eb11-a814-000d3a9c7ff2,"Kutch Group (Lloydminster, Canada)",9818 Corscot Alley,Bastos,,17690-000,Brazil,-21.9221397,-50.7317774,-7681,"2,000","$41,000,000 ",13,22,Greg Winston,Major Pharmaceuticals,Brazil,LATAM,AN-100023
1023,aa1d3f9c-f41e-eb11-a814-000d3a9c7ff2,"Abbott Group (Migrate, Kentucky)",274 Stephen Plaza,Madison,WI,53726,United States,43.0696,-89.4239,-6990,"3,700","$54,000,000 ",2,37,Eric Gruber,Real Estate Investment Trusts,US-MIDWEST,North America,AN-100024
1024,2e1ab4d2-eb1e-eb11-a814-000d3a9c7ff2,Abbott Group  (New York),199 Muir Terrace,Pompano Beach,FL,33064,United States,26.2785,-80.1157,-6314,"3,700","$53,000,000 ",7,16,Spencer Low,Industrial Machinery/Components,US-SOUTH,North America,AN-100025
1025,f5110173-f61e-eb11-a814-000d3a9c7ff2,"Turner Group (Montpellier, France)",628 Stoughton Court,Colorado Springs,CO,80935,United States,38.8247,-104.562,-2465,"3,900","$94,000,000 ",1,28,Molly Clark,Oil/Gas Transmission,US-WEST,North America,AN-100026
1026,864de108-ed1e-eb11-a814-000d3a9c7ff2,"Flatley Inc (Billings, Montana)",0582 Menomonie Alley,Kansas City,MO,64130,United States,39.0351,-94.5467,-3036,"9,800","$62,000,000 ",2,33,Eric Gruber,Paper,US-MIDWEST,North America,AN-100027
1027,307467a5-f51e-eb11-a814-000d3a9c7ff2,"Abbott Group (El Paso, Texas)",1 Darwin Junction,San Jose,CA,95155,United States,37.31,-121.9011,-7197,"8,700","$33,000,000 ",11,31,Alicia Thomber,Other Specialty Stores,US-WEST,North America,AN-100028
1028,2c6faa75-df1e-eb11-a814-000d3a9c7ff2,"Kohler, Buckridge and McKenzie",34875 Eagan Junction,Butiá,,96750-000,Brazil,-30.1180899,-51.9615457,-9095,"5,100","$20,000,000 ",13,7,Greg Winston,Computer Software: Prepackaged Software,Brazil,LATAM,AN-100029
1029,c6b511b2-e21e-eb11-a814-000d3a9c7ff2,Nader-Bruen,444 Bowman Junction,Jackson,MS,39296,United States,32.3113,-90.3972,-4443,"6,100","$189,000,000 ",9,31,David So,Other Specialty Stores,US-SOUTH,North America,AN-100030
1030,8298a17f-f11e-eb11-a814-000d3a9c7ff2,Abbott Group  (Ohio),5791 Mifflin Hill,Chicago,IL,60681,United States,41.8119,-87.6873,-11125,"7,500","$86,000,000 ",3,22,Jeff Hay,Major Pharmaceuticals,US-MIDWEST,North America,AN-100031
1031,b1cbf0fc-ec1e-eb11-a814-000d3a9c7ff2,Steuber-Willms,60846 2nd Street,Sarasota,FL,34233,United States,27.2866,-82.477,-8056,"6,400","$49,000,000 ",9,0,David So,n/a,US-SOUTH,North America,AN-100032
1032,a471f8f6-ec1e-eb11-a814-000d3a9c7ff2,"Dickinson Inc (Laval, France)",5 Emmet Parkway,Baltimore,MD,21203,United States,39.2847,-76.6205,-6906,"10,000","$26,000,000 ",7,16,Spencer Low,Industrial Machinery/Components,US-SOUTH,North America,AN-100033
1033,747ac1cb-e51e-eb11-a814-000d3a9c7ff2,"Parker, Johns and Harvey",1488 Village Crossing,Vargem Grande do Sul,,13880-000,Brazil,-21.8324773,-46.8925845,-8128,"1,600","$75,000,000 ",13,0,Greg Winston,n/a,Brazil,LATAM,AN-100034
1034,bb8295f8-f61e-eb11-a814-000d3a9c7ff2,"Weimann, Batz and Gislason",27049 Sommers Circle,Maringá,,87000-000,Brazil,-23.4209995,-51.9330558,-10090,"2,600","$39,000,000 ",13,20,Greg Winston,Major Banks,Brazil,LATAM,AN-100035
1035,458b119a-e21e-eb11-a814-000d3a9c7ff2,"Abbott Group (Louisville, Kentucky)",4577 Clyde Gallagher Circle,New York City,NY,10280,United States,40.7105,-74.0163,-7531,"6,800","$36,000,000 ",4,14,Julian Isla,Home Furnishings,US-NORTHEAST,North America,AN-100036
1036,b491a1a5-e41e-eb11-a814-000d3a9c7ff2,"Keebler LLC (Midland, Texas)",6 Manley Road,Jacupiranga,,11940-000,Brazil,-24.7023134,-48.0076188,-4239,"2,600","$39,000,000 ",13,23,Greg Winston,Marine Transportation,Brazil,LATAM,AN-100037
1037,4d9879c4-f11e-eb11-a814-000d3a9c7ff2,"Abbott Group (El Paso, Texas)",6 Talmadge Hill,Berkeley,CA,94712,United States,37.6802,-121.9215,-10688,"7,400","$72,000,000 ",11,20,Alicia Thomber,Major Banks,US-WEST,North America,AN-100038
1038,32f09a85-e31e-eb11-a814-000d3a9c7ff2,"Lehner LLC (Iida, Japan)",7085 Hallows Trail,Danbury,CT,6816,United States,41.3089,-73.3637,-9379,"9,600","$96,000,000 ",4,22,Julian Isla,Major Pharmaceuticals,US-NORTHEAST,North America,AN-100039
1039,4546c9c5-e51e-eb11-a814-000d3a9c7ff2,Hodkiewicz-Runte,0955 Hollow Ridge Place,Vihti,,3400,Finland,60.4165735,24.3256379,-3006,"5,700","$38,000,000 ",12,0,Anne Weiler,n/a,Finland,EMEA,AN-100040
1040,2ea98c22-f71e-eb11-a814-000d3a9c7ff2,"Beahan LLC (Tanabe, Japan)",67 Southridge Alley,Levallois-Perret,A8,92592 CEDEX,France,49.2272998,2.8814002,-7895,"6,300","$173,000,000 ",12,37,Anne Weiler,Real Estate Investment Trusts,France,EMEA,AN-100041
1041,f77273b9-e61e-eb11-a814-000d3a9c7ff2,"Abbott Group (Metairie, Louisiana)",83 Bluejay Junction,Peoria,IL,61640,United States,40.7857,-89.6177,-4750,"9,200","$64,000,000 ",2,0,Eric Gruber,n/a,US-MIDWEST,North America,AN-100042
1042,2dc0c830-f81e-eb11-a814-000d3a9c7ff2,Farrell-O'Conner,8903 Dexter Pass,Viradouro,,14740-000,Brazil,-20.8740173,-48.299098,-7799,"2,300","$99,000,000 ",13,19,Greg Winston,Life Insurance,Brazil,LATAM,AN-100043
1043,75161419-dd1e-eb11-a814-000d3a9c7ff2,Abbott Group  (Morocco),196 Prentice Plaza,Arlington,VA,22212,United States,38.8808,-77.113,-5792,"9,300","$36,000,000 ",9,34,David So,Precious Metals,US-SOUTH,North America,AN-100044
1044,bd120173-f61e-eb11-a814-000d3a9c7ff2,"Hodkiewicz, Blanda and Bechtelar",54 Farwell Street,Rengo,,,Chile,-34.4023791,-70.8674411,-3756,"1,800","$89,000,000 ",13,0,Greg Winston,n/a,Chile,LATAM,AN-100045
1045,a8b711b2-e21e-eb11-a814-000d3a9c7ff2,"Dickens and Sons (Maple Creek, Canada)",6594 John Wall Avenue,El Paso,TX,88558,United States,31.6948,-106.3,-2668,"4,700","$39,000,000 ",1,1,Molly Clark,Air Freight/Delivery Services,US-SOUTH,North America,AN-100046
1046,a8a13971-ef1e-eb11-a814-000d3a9c7ff2,"Wunsch LLC (Drammen, Norway)",6886 Elmside Plaza,Pessac,97,33604 CEDEX,France,44.8055893,-0.630617,494-308-5824,"8,300","$127,000,000 ",12,39,Anne Weiler,Restaurants,France,EMEA,AN-100047
1047,1e11830a-f71e-eb11-a814-000d3a9c7ff2,"Veum, Mohr and Kertzmann",37250 Westend Road,Houston,TX,77060,United States,29.9335,-95.3981,-1597,"4,500","$91,000,000 ",1,0,Molly Clark,n/a,US-SOUTH,North America,AN-100048
1048,702e02be-e21e-eb11-a814-000d3a9c7ff2,"Cummerata Inc (La Sarre, Canada)",979 Havey Place,Lansing,MI,48930,United States,42.7325,-84.5587,-10988,"5,100","$90,000,000 ",2,6,Eric Gruber,Computer Manufacturing,US-MIDWEST,North America,AN-100049
1049,a325615e-f31e-eb11-a814-000d3a9c7ff2,"Hermann Inc (Gravelbourg, Canada)",5747 Tennyson Junction,Dallas,TX,75392,United States,32.7673,-96.7776,-1464,"4,400","$42,000,000 ",1,37,Molly Clark,Real Estate Investment Trusts,US-SOUTH,North America,AN-100050
1050,f9821067-f61e-eb11-a814-000d3a9c7ff2,"Brakus-Greenfelder (Montgomery, Alabama)",76289 Morning Crossing,Dijon,A1,21019 CEDEX,France,45.2977605,2.5135985,435-893-3172,"9,300","$94,000,000 ",12,39,Anne Weiler,Restaurants,France,EMEA,AN-100051
1051,b85d45fc-f31e-eb11-a814-000d3a9c7ff2,Abbott Group  (Florida),9 Delaware Pass,El Paso,TX,88553,United States,31.6948,-106.3,-7528,"5,400","$99,000,000 ",1,22,Molly Clark,Major Pharmaceuticals,US-SOUTH,North America,AN-100052
1052,3eab4a64-f71e-eb11-a814-000d3a9c7ff2,"Jacobi, Powlowski and Rogahn",3910 Dapin Street,Saint-Lambert-de-Lauzon,QC,V6L,Canada,46.58624,-71.20892,-1575,"6,200","$107,000,000 ",10,20,Alan Steiner,Major Banks,Canada,North America,AN-100053
1053,55e2327c-f71e-eb11-a814-000d3a9c7ff2,Abbott Group  (Kansas),34668 Summer Ridge Plaza,Lubbock,TX,79415,United States,33.6021,-101.876,-11006,"3,500","$44,000,000 ",1,5,Molly Clark,Clothing/Shoe/Accessory Stores,US-SOUTH,North America,AN-100054
1054,5e163f9c-f41e-eb11-a814-000d3a9c7ff2,Abbott Group  (West Virginia),10 Clove Road,Sacramento,CA,94273,United States,38.3774,-121.4444,-5852,"10,000","$53,000,000 ",11,2,Alicia Thomber,Automotive Aftermarket,US-WEST,North America,AN-100055
1055,d43099f9-dd1e-eb11-a814-000d3a9c7ff2,Abbott Group  (South Africa),94099 Main Plaza,Aubervilliers,A8,93321 CEDEX,France,48.9124688,2.3977418,322-117-3862,"1,500","$173,000,000 ",12,13,Anne Weiler,Forest Products,France,EMEA,AN-100056
1056,44ad4a64-f71e-eb11-a814-000d3a9c7ff2,"Fisher, Weissnat and Mraz",6 Boyd Way,Berkeley,CA,94712,United States,37.6802,-121.9215,-4443,"3,600","$41,000,000 ",11,7,Alicia Thomber,Computer Software: Prepackaged Software,US-WEST,North America,AN-100057
1057,b59c505f-ef1e-eb11-a814-000d3a9c7ff2,Lowe-Block,804 Lakeland Terrace,Sacramento,CA,95828,United States,38.4826,-121.4006,-8449,"6,100","$77,000,000 ",11,0,Alicia Thomber,n/a,US-WEST,North America,AN-100058
1058,fd7279c5-e61e-eb11-a814-000d3a9c7ff2,"Bayer-Keeling (Oslo, Norway)",09 Parkside Street,Saint-André-Avellin,QC,T5Y,Canada,45.7168,-75.06599,-5014,"7,900","$46,000,000 ",10,1,Alan Steiner,Air Freight/Delivery Services,Canada,North America,AN-100059
1059,c55faa79-e31e-eb11-a814-000d3a9c7ff2,Ortiz-Kerluke,6 Division Drive,Paris La Défense,A8,92901 CEDEX,France,48.892701,2.233089,496-921-9615,"9,200","$42,000,000 ",12,39,Anne Weiler,Restaurants,France,EMEA,AN-100060
1060,52cc63d5-e41e-eb11-a814-000d3a9c7ff2,"Purdy, Cassin and Ryan",9701 Elgar Drive,Bradenton,FL,34210,United States,27.4544,-82.6358,-11047,"3,900","$85,000,000 ",9,22,David So,Major Pharmaceuticals,US-SOUTH,North America,AN-100061
1061,8d97f701-f11e-eb11-a814-000d3a9c7ff2,Bogisich-Treutel,438 Jay Trail,Coronel,,,Chile,-37.0340769,-73.1404838,-2632,"7,900","$158,000,000 ",13,0,Greg Winston,n/a,Chile,LATAM,AN-100062
1062,b94eedc4-f71e-eb11-a814-000d3a9c7ff2,"Stroman, Jacobs and Lubowitz",584 Mcguire Crossing,Raleigh,NC,27621,United States,35.7977,-78.6253,-7806,"8,900","$66,000,000 ",9,0,David So,n/a,US-SOUTH,North America,AN-100063
1063,2a92230d-dd1e-eb11-a814-000d3a9c7ff2,Abbott Group  (Vietnam),5 Old Gate Park,Chengguan,,,China,29.654838,91.140552,-2705,"8,000","$6,000,000 ",6,22,Renee Lo,Major Pharmaceuticals,China,APAC,AN-100064
1064,6cddbce1-ef1e-eb11-a814-000d3a9c7ff2,"Abbott Group (New Orleans, Louisiana)",582 Mifflin Trail,Pasadena,CA,91186,United States,33.7866,-118.2987,-5959,"6,500","$91,000,000 ",11,22,Alicia Thomber,Major Pharmaceuticals,US-WEST,North America,AN-100065
1065,a8c43bf4-f11e-eb11-a814-000d3a9c7ff2,"Rolfson, Quitzon and King",050 Aberg Junction,Montpellier,A9,34964 CEDEX 2,France,47.3752386,-0.8453268,562-526-3012,"9,800","$100,000,000 ",12,29,Anne Weiler,Oilfield Services/Equipment,France,EMEA,AN-100066
1066,da82f2f2-f81e-eb11-a814-000d3a9c7ff2,"Kutch Inc (Isehara, Japan)",24 Esker Junction,Vancouver,WA,98664,United States,45.6231,-122.5767,-4510,"4,000","$89,000,000 ",11,9,Alicia Thomber,Diversified Commercial Services,US-WEST,North America,AN-100067
1067,bc4820d6-f21e-eb11-a814-000d3a9c7ff2,"Haley, Auer and Luettgen",6797 Vidon Park,Canton,OH,44760,United States,40.854,-81.4278,-2916,"5,200","$39,000,000 ",3,32,Jeff Hay,Packaged Foods,US-MIDWEST,North America,AN-100068
1068,c8896d78-f41e-eb11-a814-000d3a9c7ff2,"Abbott Inc and Sons (Houston, Texas)",6586 Tennessee Court,Hacienda La Calera,,,Chile,-32.78333,-71.21667,-6143,"3,000","$60,000,000 ",13,19,Greg Winston,Life Insurance,Chile,LATAM,AN-100069
1069,e66b3713-e61e-eb11-a814-000d3a9c7ff2,"Casper, Carroll and Goldner",0 Dakota Drive,Saint Joseph,MO,64504,United States,39.7076,-94.8677,-4743,"8,000","$92,000,000 ",2,0,Eric Gruber,n/a,US-MIDWEST,North America,AN-100070
1070,906962d6-f11e-eb11-a814-000d3a9c7ff2,"Sawayn-Stroman (Catalina, Canada)",945 Grover Park,Denver,CO,80270,United States,39.7388,-104.4083,-5646,"4,400","$39,000,000 ",1,16,Molly Clark,Industrial Machinery/Components,US-WEST,North America,AN-100071
1071,7c3e9c85-f11e-eb11-a814-000d3a9c7ff2,Abbott Inc and Sons  (Arizona),7 School Road,Aurora,CO,80045,United States,39.7467,-104.8384,-9464,"8,000","$23,000,000 ",1,35,Molly Clark,Property-Casualty Insurers,US-WEST,North America,AN-100072
1072,73040c37-e61e-eb11-a814-000d3a9c7ff2,"Abbott Inc and Sons (Dallas, Texas)",97671 Maple Junction,Phoenix,AZ,85072,United States,33.2765,-112.1872,-4789,"10,000","$96,000,000 ",1,22,Molly Clark,Major Pharmaceuticals,US-WEST,North America,AN-100073
1073,9b69aa79-e31e-eb11-a814-000d3a9c7ff2,"Aufderhar-Fisher (Barrhead, Canada)",28080 Hoard Alley,Villarrica,,,Chile,-39.2820124,-72.2307798,-8840,"2,200","$36,000,000 ",13,42,Greg Winston,Telecommunications Equipment,Chile,LATAM,AN-100074
1074,d279e205-f31e-eb11-a814-000d3a9c7ff2,"Wolf Inc (Boston, Massachusetts)",77075 East Crossing,Columbus,OH,43226,United States,39.969,-83.0114,-6273,"3,800","$100,000,000 ",2,21,Eric Gruber,Major Chemicals,US-MIDWEST,North America,AN-100075
1075,e1bac830-f81e-eb11-a814-000d3a9c7ff2,"Gerlach-Schimmel (Saint-Jean-de-Védas, France)",348 Forest Dale Alley,Austin,TX,78726,United States,30.43,-97.8326,-6021,"4,100","$25,000,000 ",1,21,Molly Clark,Major Chemicals,US-SOUTH,North America,AN-100076
1076,9bbfda0b-f31e-eb11-a814-000d3a9c7ff2,"Gislason, D'Amore and Larson",54 Bartillon Center,Phoenix,AZ,85010,United States,33.2765,-112.1872,-7919,"9,600","$90,000,000 ",1,12,Molly Clark,Food Distributors,US-WEST,North America,AN-100077
1077,bd4720d6-f21e-eb11-a814-000d3a9c7ff2,"Abbott Inc and Sons (Wichita Falls, Texas)",824 Hoard Road,El Paso,TX,88584,United States,31.6948,-106.3,-6593,"6,400","$95,000,000 ",1,27,Molly Clark,Oil & Gas Production,US-SOUTH,North America,AN-100078
1078,a0ebaa38-f41e-eb11-a814-000d3a9c7ff2,"Abbott Inc and Sons (Bradenton, Florida)",69 Manley Pass,Quillota,,,Chile,-32.8803027,-71.2497156,-9764,"1,500","$26,000,000 ",13,16,Greg Winston,Industrial Machinery/Components,Chile,LATAM,AN-100079
1079,dab9d819-f11e-eb11-a814-000d3a9c7ff2,"Bechtelar Group (Colorado Springs, Colorado)",28370 Spohn Pass,Miami,FL,33142,United States,25.813,-80.232,-2375,"5,300","$17,000,000 ",9,7,David So,Computer Software: Prepackaged Software,US-SOUTH,North America,AN-100080
1080,f675f9d1-f41e-eb11-a814-000d3a9c7ff2,"Hintz Group (Huntington, West Virginia)",86200 Mockingbird Terrace,Guachucal,,524588,Colombia,1.003696,-77.7565925,-7381,"8,500","$57,000,000 ",8,14,Sanjay Shah,Home Furnishings,Colombia,LATAM,AN-100081
1081,9da9f2c9-e21e-eb11-a814-000d3a9c7ff2,"Lesch-Abshire (Des Moines, Iowa)",6 Jenifer Avenue,Lower Hutt,,5042,New Zealand,-41.2219337,174.8714559,-9033,"1,500","$26,000,000 ",6,0,Renee Lo,n/a,New Zealand,APAC,AN-100082
1082,8159cbc0-eb1e-eb11-a814-000d3a9c7ff2,"Feest LLC (Tsukuba, Japan)",55 Farwell Circle,Tallahassee,FL,32304,United States,30.4478,-84.3211,-2895,"4,600","$32,000,000 ",7,0,Spencer Low,n/a,US-SOUTH,North America,AN-100083
1083,d55f37a2-f41e-eb11-a814-000d3a9c7ff2,"Keeling and Sons (Paris 10, France)",486 Corry Crossing,Cornwall,PE,L4E,Canada,46.22652,-63.21809,-3724,"4,000","$46,000,000 ",10,25,Alan Steiner,Medical/Dental Instruments,Canada,North America,AN-100084
1084,e251c9c5-e51e-eb11-a814-000d3a9c7ff2,"Abbott Inc and Sons (Sacramento, California)",5 Grover Junction,South Bend,IN,46614,United States,41.6255,-86.2433,-8311,"8,500","$32,000,000 ",3,0,Jeff Hay,n/a,US-MIDWEST,North America,AN-100085
1085,a59d94f0-eb1e-eb11-a814-000d3a9c7ff2,Hahn-Graham,7 Melby Pass,Sainte-Thérèse,QC,J7G,Canada,45.6181396,-73.8394482,-1222,"9,200","$106,000,000 ",10,27,Alan Steiner,Oil & Gas Production,Canada,North America,AN-100086
1086,96ac10c0-f41e-eb11-a814-000d3a9c7ff2,"Welch Group (New-Richmond, Canada)",92710 Kenwood Terrace,Atlanta,GA,30351,United States,33.8444,-84.474,-5922,"6,600","$76,000,000 ",9,16,David So,Industrial Machinery/Components,US-SOUTH,North America,AN-100087
1087,ead954f0-f31e-eb11-a814-000d3a9c7ff2,Senger-Goodwin,18 Prentice Point,New York City,NY,10110,United States,40.754,-73.9808,-9011,"7,200","$98,000,000 ",4,14,Julian Isla,Home Furnishings,US-NORTHEAST,North America,AN-100088
1088,a9df8717-f01e-eb11-a814-000d3a9c7ff2,Heathcote-Stanton,1698 Waywood Center,Phoenix,AZ,85010,United States,33.2765,-112.1872,-10709,"9,300","$74,000,000 ",1,22,Molly Clark,Major Pharmaceuticals,US-WEST,North America,AN-100089
1089,cad5633b-e71e-eb11-a814-000d3a9c7ff2,"Dietrich Group (West Kelowna, Canada)",966 Buena Vista Hill,San Diego,CA,92176,United States,33.0169,-116.846,-2978,"6,900","$150,000,000 ",11,3,Alicia Thomber,Biotechnology: Commercial Physical & Biological Resarch,US-WEST,North America,AN-100090
1090,a7fa071e-f21e-eb11-a814-000d3a9c7ff2,"Abbott Inc and Sons (Orlando, Florida)",98 Mendota Pass,Carquefou,B5,44474 CEDEX,France,47.2990712,-1.5086685,366-950-8571,"1,700","$88,000,000 ",12,38,Anne Weiler,Recreational Products/Toys,France,EMEA,AN-100091
1091,69095e84-f41e-eb11-a814-000d3a9c7ff2,"Lubowitz Group (Seattle, Washington)",634 Express Junction,Arlington,VA,22212,United States,38.8808,-77.113,-5157,"4,000","$97,000,000 ",9,0,David So,n/a,US-SOUTH,North America,AN-100092
1092,d153568a-f41e-eb11-a814-000d3a9c7ff2,"Schroeder Group (Askim, Norway)",1 Pierstorff Park,Arlington,VA,22225,United States,38.8808,-77.113,-5267,"3,300","$56,000,000 ",7,17,Spencer Low,Integrated oil Companies,US-SOUTH,North America,AN-100093
1093,7d6662d6-f11e-eb11-a814-000d3a9c7ff2,"Rath, Lind and Deckow",2 Banding Drive,Johnson City,TN,37605,United States,36.3158,-82.3838,-3083,"7,300","$75,000,000 ",9,15,David So,Hospital/Nursing Management,US-SOUTH,North America,AN-100094
1094,5f896d78-f41e-eb11-a814-000d3a9c7ff2,"Kling, Conroy and Abbott",321 Ridgeview Lane,Manassas,VA,22111,United States,38.7202,-77.4391,-10458,"8,400","$15,000,000 ",9,30,David So,Ordnance And Accessories,US-SOUTH,North America,AN-100095
1095,f2ada27f-e31e-eb11-a814-000d3a9c7ff2,Kuvalis-O'Hara,581 Comanche Court,Whitehorse,YT,Y1A,Canada,60.7610412,-135.1742264,-8529,"6,300","$74,000,000 ",10,29,Alan Steiner,Oilfield Services/Equipment,Canada,North America,AN-100096
1096,c2a411b2-e21e-eb11-a814-000d3a9c7ff2,"Grant Group (Palaiseau, France)",202 Ruskin Plaza,Hejiaping,,,China,30.60215,110.836537,-6210,"7,500","$7,000,000 ",6,22,Renee Lo,Major Pharmaceuticals,China,APAC,AN-100097
