Date,DAY,DaySeq,MONTH,MONTH_NUMBER,RELATIVE_07_DAY_PERIOD,RELATIVE_30_DAY_PERIOD,RELATIVE_DAY,RELATIVE_MONTH,RELATIVE_WEEK,WEEK,YEAR,YEAR_MONTH,YEAR_MONTH_NUMBER,YEAR_WEEK
2/8/2019 0:00,2/8/2019 0:00,39,February,2,-207,-48,1895-12-29 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
2/9/2019 0:00,2/9/2019 0:00,40,February,2,-207,-48,1895-12-30 00:00:00,-48,-209,2/2/2019 0:00,2019,2/1/2019 0:00,24229,2019-W06
2/10/2019 0:00,2/10/2019 0:00,41,February,2,-207,-48,1895-12-31 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/11/2019 0:00,2/11/2019 0:00,42,February,2,-207,-48,1896-01-01 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/12/2019 0:00,2/12/2019 0:00,43,February,2,-207,-48,1896-01-02 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/13/2019 0:00,2/13/2019 0:00,44,February,2,-207,-48,1896-01-03 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/14/2019 0:00,2/14/2019 0:00,45,February,2,-207,-48,1896-01-04 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/15/2019 0:00,2/15/2019 0:00,46,February,2,-206,-48,1896-01-05 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/16/2019 0:00,2/16/2019 0:00,47,February,2,-206,-48,1896-01-06 00:00:00,-48,-208,2/9/2019 0:00,2019,2/1/2019 0:00,24229,2019-W07
2/17/2019 0:00,2/17/2019 0:00,48,February,2,-206,-48,1896-01-07 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/18/2019 0:00,2/18/2019 0:00,49,February,2,-206,-48,1896-01-08 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/19/2019 0:00,2/19/2019 0:00,50,February,2,-206,-48,1896-01-09 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/20/2019 0:00,2/20/2019 0:00,51,February,2,-206,-48,1896-01-10 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/21/2019 0:00,2/21/2019 0:00,52,February,2,-206,-48,1896-01-11 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/22/2019 0:00,2/22/2019 0:00,53,February,2,-205,-48,1896-01-12 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/23/2019 0:00,2/23/2019 0:00,54,February,2,-205,-48,1896-01-13 00:00:00,-48,-207,2/16/2019 0:00,2019,2/1/2019 0:00,24229,2019-W08
2/24/2019 0:00,2/24/2019 0:00,55,February,2,-205,-48,1896-01-14 00:00:00,-48,-206,2/23/2019 0:00,2019,2/1/2019 0:00,24229,2019-W09
2/25/2019 0:00,2/25/2019 0:00,56,February,2,-205,-48,1896-01-15 00:00:00,-48,-206,2/23/2019 0:00,2019,2/1/2019 0:00,24229,2019-W09
2/26/2019 0:00,2/26/2019 0:00,57,February,2,-205,-48,1896-01-16 00:00:00,-48,-206,2/23/2019 0:00,2019,2/1/2019 0:00,24229,2019-W09
2/27/2019 0:00,2/27/2019 0:00,58,February,2,-205,-48,1896-01-17 00:00:00,-48,-206,2/23/2019 0:00,2019,2/1/2019 0:00,24229,2019-W09
2/28/2019 0:00,2/28/2019 0:00,59,February,2,-205,-48,1896-01-18 00:00:00,-48,-206,2/23/2019 0:00,2019,2/1/2019 0:00,24229,2019-W09
3/1/2019 0:00,3/1/2019 0:00,60,March,3,-204,-48,1896-01-19 00:00:00,-47,-206,2/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W09
3/2/2019 0:00,3/2/2019 0:00,61,March,3,-204,-48,1896-01-20 00:00:00,-47,-206,2/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W09
3/3/2019 0:00,3/3/2019 0:00,62,March,3,-204,-47,1896-01-21 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/4/2019 0:00,3/4/2019 0:00,63,March,3,-204,-47,1896-01-22 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/5/2019 0:00,3/5/2019 0:00,64,March,3,-204,-47,1896-01-23 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/6/2019 0:00,3/6/2019 0:00,65,March,3,-204,-47,1896-01-24 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/7/2019 0:00,3/7/2019 0:00,66,March,3,-204,-47,1896-01-25 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/8/2019 0:00,3/8/2019 0:00,67,March,3,-203,-47,1896-01-26 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/9/2019 0:00,3/9/2019 0:00,68,March,3,-203,-47,1896-01-27 00:00:00,-47,-205,3/2/2019 0:00,2019,3/1/2019 0:00,24230,2019-W10
3/10/2019 0:00,3/10/2019 0:00,69,March,3,-203,-47,1896-01-28 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/11/2019 0:00,3/11/2019 0:00,70,March,3,-203,-47,1896-01-29 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/12/2019 0:00,3/12/2019 0:00,71,March,3,-203,-47,1896-01-30 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/13/2019 0:00,3/13/2019 0:00,72,March,3,-203,-47,1896-01-31 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/14/2019 0:00,3/14/2019 0:00,73,March,3,-203,-47,1896-02-01 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/15/2019 0:00,3/15/2019 0:00,74,March,3,-202,-47,1896-02-02 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/16/2019 0:00,3/16/2019 0:00,75,March,3,-202,-47,1896-02-03 00:00:00,-47,-204,3/9/2019 0:00,2019,3/1/2019 0:00,24230,2019-W11
3/17/2019 0:00,3/17/2019 0:00,76,March,3,-202,-47,1896-02-04 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/18/2019 0:00,3/18/2019 0:00,77,March,3,-202,-47,1896-02-05 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/19/2019 0:00,3/19/2019 0:00,78,March,3,-202,-47,1896-02-06 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/20/2019 0:00,3/20/2019 0:00,79,March,3,-202,-47,1896-02-07 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/21/2019 0:00,3/21/2019 0:00,80,March,3,-202,-47,1896-02-08 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/22/2019 0:00,3/22/2019 0:00,81,March,3,-201,-47,1896-02-09 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/23/2019 0:00,3/23/2019 0:00,82,March,3,-201,-47,1896-02-10 00:00:00,-47,-203,3/16/2019 0:00,2019,3/1/2019 0:00,24230,2019-W12
3/24/2019 0:00,3/24/2019 0:00,83,March,3,-201,-47,1896-02-11 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/25/2019 0:00,3/25/2019 0:00,84,March,3,-201,-47,1896-02-12 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/26/2019 0:00,3/26/2019 0:00,85,March,3,-201,-47,1896-02-13 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/27/2019 0:00,3/27/2019 0:00,86,March,3,-201,-47,1896-02-14 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/28/2019 0:00,3/28/2019 0:00,87,March,3,-201,-47,1896-02-15 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/29/2019 0:00,3/29/2019 0:00,88,March,3,-200,-47,1896-02-16 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/30/2019 0:00,3/30/2019 0:00,89,March,3,-200,-47,1896-02-17 00:00:00,-47,-202,3/23/2019 0:00,2019,3/1/2019 0:00,24230,2019-W13
3/31/2019 0:00,3/31/2019 0:00,90,March,3,-200,-47,1896-02-18 00:00:00,-47,-201,3/30/2019 0:00,2019,3/1/2019 0:00,24230,2019-W14
4/1/2019 0:00,4/1/2019 0:00,91,April,4,-200,-47,1896-02-19 00:00:00,-46,-201,3/30/2019 0:00,2019,4/1/2019 0:00,24231,2019-W14
4/2/2019 0:00,4/2/2019 0:00,92,April,4,-200,-46,1896-02-20 00:00:00,-46,-201,3/30/2019 0:00,2019,4/1/2019 0:00,24231,2019-W14
4/3/2019 0:00,4/3/2019 0:00,93,April,4,-200,-46,1896-02-21 00:00:00,-46,-201,3/30/2019 0:00,2019,4/1/2019 0:00,24231,2019-W14
4/4/2019 0:00,4/4/2019 0:00,94,April,4,-200,-46,1896-02-22 00:00:00,-46,-201,3/30/2019 0:00,2019,4/1/2019 0:00,24231,2019-W14
4/5/2019 0:00,4/5/2019 0:00,95,April,4,-199,-46,1896-02-23 00:00:00,-46,-201,3/30/2019 0:00,2019,4/1/2019 0:00,24231,2019-W14
4/6/2019 0:00,4/6/2019 0:00,96,April,4,-199,-46,1896-02-24 00:00:00,-46,-201,3/30/2019 0:00,2019,4/1/2019 0:00,24231,2019-W14
4/7/2019 0:00,4/7/2019 0:00,97,April,4,-199,-46,1896-02-25 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/8/2019 0:00,4/8/2019 0:00,98,April,4,-199,-46,1896-02-26 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/9/2019 0:00,4/9/2019 0:00,99,April,4,-199,-46,1896-02-27 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/10/2019 0:00,4/10/2019 0:00,100,April,4,-199,-46,1896-02-28 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/11/2019 0:00,4/11/2019 0:00,101,April,4,-199,-46,1896-02-29 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/12/2019 0:00,4/12/2019 0:00,102,April,4,-198,-46,1896-03-01 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/13/2019 0:00,4/13/2019 0:00,103,April,4,-198,-46,1896-03-02 00:00:00,-46,-200,4/6/2019 0:00,2019,4/1/2019 0:00,24231,2019-W15
4/14/2019 0:00,4/14/2019 0:00,104,April,4,-198,-46,1896-03-03 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/15/2019 0:00,4/15/2019 0:00,105,April,4,-198,-46,1896-03-04 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/16/2019 0:00,4/16/2019 0:00,106,April,4,-198,-46,1896-03-05 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/17/2019 0:00,4/17/2019 0:00,107,April,4,-198,-46,1896-03-06 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/18/2019 0:00,4/18/2019 0:00,108,April,4,-198,-46,1896-03-07 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/19/2019 0:00,4/19/2019 0:00,109,April,4,-197,-46,1896-03-08 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/20/2019 0:00,4/20/2019 0:00,110,April,4,-197,-46,1896-03-09 00:00:00,-46,-199,4/13/2019 0:00,2019,4/1/2019 0:00,24231,2019-W16
4/21/2019 0:00,4/21/2019 0:00,111,April,4,-197,-46,1896-03-10 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/22/2019 0:00,4/22/2019 0:00,112,April,4,-197,-46,1896-03-11 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/23/2019 0:00,4/23/2019 0:00,113,April,4,-197,-46,1896-03-12 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/24/2019 0:00,4/24/2019 0:00,114,April,4,-197,-46,1896-03-13 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/25/2019 0:00,4/25/2019 0:00,115,April,4,-197,-46,1896-03-14 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/26/2019 0:00,4/26/2019 0:00,116,April,4,-196,-46,1896-03-15 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/27/2019 0:00,4/27/2019 0:00,117,April,4,-196,-46,1896-03-16 00:00:00,-46,-198,4/20/2019 0:00,2019,4/1/2019 0:00,24231,2019-W17
4/28/2019 0:00,4/28/2019 0:00,118,April,4,-196,-46,1896-03-17 00:00:00,-46,-197,4/27/2019 0:00,2019,4/1/2019 0:00,24231,2019-W18
4/29/2019 0:00,4/29/2019 0:00,119,April,4,-196,-46,1896-03-18 00:00:00,-46,-197,4/27/2019 0:00,2019,4/1/2019 0:00,24231,2019-W18
4/30/2019 0:00,4/30/2019 0:00,120,April,4,-196,-46,1896-03-19 00:00:00,-46,-197,4/27/2019 0:00,2019,4/1/2019 0:00,24231,2019-W18
5/1/2019 0:00,5/1/2019 0:00,121,May,5,-196,-46,1896-03-20 00:00:00,-45,-197,4/27/2019 0:00,2019,5/1/2019 0:00,24232,2019-W18
5/2/2019 0:00,5/2/2019 0:00,122,May,5,-196,-45,1896-03-21 00:00:00,-45,-197,4/27/2019 0:00,2019,5/1/2019 0:00,24232,2019-W18
5/3/2019 0:00,5/3/2019 0:00,123,May,5,-195,-45,1896-03-22 00:00:00,-45,-197,4/27/2019 0:00,2019,5/1/2019 0:00,24232,2019-W18
5/4/2019 0:00,5/4/2019 0:00,124,May,5,-195,-45,1896-03-23 00:00:00,-45,-197,4/27/2019 0:00,2019,5/1/2019 0:00,24232,2019-W18
5/5/2019 0:00,5/5/2019 0:00,125,May,5,-195,-45,1896-03-24 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/6/2019 0:00,5/6/2019 0:00,126,May,5,-195,-45,1896-03-25 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/7/2019 0:00,5/7/2019 0:00,127,May,5,-195,-45,1896-03-26 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/8/2019 0:00,5/8/2019 0:00,128,May,5,-195,-45,1896-03-27 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/9/2019 0:00,5/9/2019 0:00,129,May,5,-195,-45,1896-03-28 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/10/2019 0:00,5/10/2019 0:00,130,May,5,-194,-45,1896-03-29 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/11/2019 0:00,5/11/2019 0:00,131,May,5,-194,-45,1896-03-30 00:00:00,-45,-196,5/4/2019 0:00,2019,5/1/2019 0:00,24232,2019-W19
5/12/2019 0:00,5/12/2019 0:00,132,May,5,-194,-45,1896-03-31 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/13/2019 0:00,5/13/2019 0:00,133,May,5,-194,-45,1896-04-01 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/14/2019 0:00,5/14/2019 0:00,134,May,5,-194,-45,1896-04-02 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/15/2019 0:00,5/15/2019 0:00,135,May,5,-194,-45,1896-04-03 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/16/2019 0:00,5/16/2019 0:00,136,May,5,-194,-45,1896-04-04 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/17/2019 0:00,5/17/2019 0:00,137,May,5,-193,-45,1896-04-05 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/18/2019 0:00,5/18/2019 0:00,138,May,5,-193,-45,1896-04-06 00:00:00,-45,-195,5/11/2019 0:00,2019,5/1/2019 0:00,24232,2019-W20
5/19/2019 0:00,5/19/2019 0:00,139,May,5,-193,-45,1896-04-07 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/20/2019 0:00,5/20/2019 0:00,140,May,5,-193,-45,1896-04-08 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/21/2019 0:00,5/21/2019 0:00,141,May,5,-193,-45,1896-04-09 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/22/2019 0:00,5/22/2019 0:00,142,May,5,-193,-45,1896-04-10 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/23/2019 0:00,5/23/2019 0:00,143,May,5,-193,-45,1896-04-11 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/24/2019 0:00,5/24/2019 0:00,144,May,5,-192,-45,1896-04-12 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/25/2019 0:00,5/25/2019 0:00,145,May,5,-192,-45,1896-04-13 00:00:00,-45,-194,5/18/2019 0:00,2019,5/1/2019 0:00,24232,2019-W21
5/26/2019 0:00,5/26/2019 0:00,146,May,5,-192,-45,1896-04-14 00:00:00,-45,-193,5/25/2019 0:00,2019,5/1/2019 0:00,24232,2019-W22
5/27/2019 0:00,5/27/2019 0:00,147,May,5,-192,-45,1896-04-15 00:00:00,-45,-193,5/25/2019 0:00,2019,5/1/2019 0:00,24232,2019-W22
5/28/2019 0:00,5/28/2019 0:00,148,May,5,-192,-45,1896-04-16 00:00:00,-45,-193,5/25/2019 0:00,2019,5/1/2019 0:00,24232,2019-W22
5/29/2019 0:00,5/29/2019 0:00,149,May,5,-192,-45,1896-04-17 00:00:00,-45,-193,5/25/2019 0:00,2019,5/1/2019 0:00,24232,2019-W22
5/30/2019 0:00,5/30/2019 0:00,150,May,5,-192,-45,1896-04-18 00:00:00,-45,-193,5/25/2019 0:00,2019,5/1/2019 0:00,24232,2019-W22
5/31/2019 0:00,5/31/2019 0:00,151,May,5,-191,-45,1896-04-19 00:00:00,-45,-193,5/25/2019 0:00,2019,5/1/2019 0:00,24232,2019-W22
6/1/2019 0:00,6/1/2019 0:00,152,June,6,-191,-44,1896-04-20 00:00:00,-44,-193,5/25/2019 0:00,2019,6/1/2019 0:00,24233,2019-W22
6/2/2019 0:00,6/2/2019 0:00,153,June,6,-191,-44,1896-04-21 00:00:00,-44,-192,6/1/2019 0:00,2019,6/1/2019 0:00,24233,2019-W23
6/3/2019 0:00,6/3/2019 0:00,154,June,6,-191,-44,1896-04-22 00:00:00,-44,-192,6/1/2019 0:00,2019,6/1/2019 0:00,24233,2019-W23
6/4/2019 0:00,6/4/2019 0:00,155,June,6,-191,-44,1896-04-23 00:00:00,-44,-192,6/1/2019 0:00,2019,6/1/2019 0:00,24233,2019-W23
6/5/2019 0:00,6/5/2019 0:00,156,June,6,-191,-44,1896-04-24 00:00:00,-44,-192,6/1/2019 0:00,2019,6/1/2019 0:00,24233,2019-W23
6/6/2019 0:00,6/6/2019 0:00,157,June,6,-191,-44,1896-04-25 00:00:00,-44,-192,6/1/2019 0:00,2019,6/1/2019 0:00,24233,2019-W23
